IP,Country,class
8.18.2.254,US,normal
8.21.198.128,US,normal
8.25.28.16,US,anomaly
8.27.177.130,US,anomaly
8.29.127.23,US,anomaly
8.36.224.147,US,normal
8.37.225.102,US,normal
8.37.225.106,US,normal
8.37.225.107,US,anomaly
8.37.225.107,US,normal
8.37.225.108,US,anomaly
8.37.225.113,US,anomaly
8.37.225.116,US,normal
8.37.225.139,US,normal
8.37.225.156,US,normal
8.37.225.161,US,normal
8.37.225.170,US,normal
8.37.225.171,US,normal
8.37.225.182,US,anomaly
8.37.225.187,US,normal
8.37.225.191,US,anomaly
8.37.225.192,US,anomaly
8.37.225.194,US,normal
8.37.225.196,US,anomaly
8.37.225.203,US,anomaly
8.37.225.206,US,anomaly
8.37.225.210,US,normal
8.37.225.211,US,anomaly
8.37.225.213,US,anomaly
8.37.225.214,US,normal
8.37.225.215,US,anomaly
8.37.225.216,US,normal
8.37.225.216,US,anomaly
8.37.225.225,US,anomaly
8.37.225.225,US,normal
8.37.225.226,US,normal
8.37.225.233,US,normal
8.37.225.237,US,normal
8.37.225.247,US,normal
8.37.225.44,US,anomaly
8.37.225.55,US,anomaly
8.37.225.57,US,normal
8.37.225.66,US,normal
8.37.225.80,US,normal
8.37.225.80,US,normal
8.37.225.81,US,normal
8.37.225.82,US,normal
8.37.225.83,US,anomaly
8.37.225.83,US,anomaly
8.37.225.94,US,normal
8.37.225.96,US,normal
8.37.225.99,US,normal
8.37.226.2,US,anomaly
8.37.231.119,US,anomaly
8.37.231.11,US,normal
8.37.231.123,US,anomaly
8.37.231.125,US,anomaly
8.37.231.153,US,anomaly
8.37.231.164,US,normal
8.37.231.164,US,anomaly
8.37.231.198,US,normal
8.37.231.203,US,normal
8.37.231.207,US,normal
8.37.231.20,US,anomaly
8.37.231.232,US,normal
8.37.231.35,US,anomaly
8.37.231.41,US,anomaly
8.37.231.44,US,normal
8.37.231.56,US,anomaly
8.37.231.79,US,anomaly
8.37.231.83,US,anomaly
8.37.231.83,US,anomaly
8.37.234.115,US,anomaly
8.37.234.246,US,anomaly
8.37.234.91,US,anomaly
8.37.237.125,US,anomaly
8.37.237.125,US,anomaly
8.37.237.143,US,normal
8.37.237.143,US,anomaly
8.37.237.167,US,normal
8.37.237.168,US,anomaly
8.37.237.169,US,anomaly
8.37.237.209,US,normal
8.37.237.234,US,anomaly
8.37.237.31,US,anomaly
8.37.237.56,US,anomaly
8.37.237.74,US,anomaly
8.40.58.227,US,normal
8.42.202.1,US,normal
12.10.219.228,US,normal
12.1.34.67,US,anomaly
12.107.103.66,US,anomaly
12.108.122.194,US,anomaly
12.119.141.10,US,anomaly
12.130.162.2,US,normal
12.13.71.254,US,anomaly
12.131.115.81,US,anomaly
12.147.22.98,US,normal
12.153.124.226,US,normal
12.156.96.90,US,normal
12.157.107.209,US,anomaly
12.165.188.170,US,normal
12.166.196.9,US,anomaly
12.175.119.76,US,anomaly
12.175.45.71,US,normal
12.175.72.34,US,anomaly
12.176.80.170,US,normal
12.180.82.218,US,anomaly
12.187.116.132,US,anomaly
12.189.26.162,US,anomaly
12.19.109.2,US,anomaly
12.197.156.98,US,anomaly
12.204.91.250,US,normal
12.216.192.20,US,anomaly
12.22.205.130,US,normal
12.234.176.34,US,normal
12.250.243.122,US,normal
12.27.248.74,US,normal
12.30.93.58,US,normal
12.31.244.6,US,normal
12.34.246.73,US,normal
12.36.127.66,US,anomaly
12.39.2.226,US,anomaly
12.40.148.10,US,anomaly
12.42.50.52,US,normal
12.44.216.98,US,anomaly
12.69.190.12,US,normal
12.96.124.218,US,anomaly
13.21.125.9,US,normal
13.76.168.156,US,normal
13.76.241.210,US,anomaly
